ROCstory,Inhouse Interestingness Average,Inhouse Creativity Average,Crowdsource Interestingness Average,Crowdsource Creativity Average,Total Interestingness Average,Total Creativity Average,Deltascore(Typo),Deltascore(Jumble),Deltascore(Add_negation),UNIEVAL,CTC,GPTscore_Interestingness,GPTscore_Creativity,StoryER,Deltascore(Engaging Plot transformed),Deltascore(Irony_Transformed),Deltascore(Metaphor and Simile Transformed),Deltascore(Pun Transformed),Deltascore(Sensory Description Transformed),Deltascore(Vivid Writing Style Transformed),ICScore(Llama3 70B),ICScore(Llama3 8B),ICScore(Mistral7B),ICScore(Mixtral 8x7B),ICScore(gemma7b)
"Travis grew up in a fishing village. The village was running low on fish. Travis set out to find the biggest catch of fish. After three days at sea, Travis had a huge catch. Travis returned to the village as a hero.",4,4.75,2.75,3.75,3.375,4.25,3.495652,1.605179,0.19438,0.9735,20.65257,3,2,0.194969,0.015957,0.158601,0.948903,0.588796,0.376394,0.357292,0.236808,0.660238,0.336368,0.264075,0.311655
Marion was about to move. She was cleaning her house up before the move. She opened up a closet that had been closed for a year. Inside was a bag with some sort of goo on it. She decided to just leave it.,4,3.75,4.75,4,4.375,3.875,2.749121,1.267531,0.242445,0.649292,13.4589,2,2,0.181753,0.035682,0.152427,0.364128,0.148044,0.193422,0.014163,0.105718,0.03642,0.169895,0.156389,0.14739
"Dirk traveled to Japan in early 2013. When there, he visited all sorts of places. He got lost one day, and was unable to find his way back to his hotel. He looked to the skyline and followed familiar buildings. Eventually he found his hotel, after hours of walking.",3,3,2.5,2.25,2.75,2.625,2.854108,1.390773,0.094402,0.998618,23.08198,2,2,0.176537,0.559915,0.151151,0.047557,0.197586,0.523022,0.325441,0.239467,0.219709,0.132408,0.186555,0.221942
Tom was out on a date. He was trying to impress the girl. Tom ordered expensive items even though he couldn't afford them. He severely overdrafted his account. Tom spent weeks paying it off.,3.75,3,2.75,3.75,3.25,3.375,3.067451,1.789538,0.230506,0.982591,18.48534,2,2,0.176241,0.709555,0.145065,0.199868,0.992102,0.149232,0.083207,0.18462,0.379984,0.309975,0.339647,0.172794
Emily loves chewing on ice. She fills up a cup full of ice every night. The ice got stuck on her finger! She had to rip it off. Now she pours water over the ice before touching it.,2.75,3.5,3,2.75,2.875,3.125,3.156601,1.375066,0.072265,0.990208,15.56539,2,2,0.179717,0.13285,0.142718,0.115466,0.366459,0.056003,0.067931,0.317196,0.321335,0.233882,0.236767,0.264065
Will has always wanted to visit Paraguay but he doesn't speak Spanish. He decides to enroll in a local class. He practices Spanish every day for one year. Now Will is a great Spanish speaker. He feels ready for his trip to Paraguay now that he can speak Spanish.,2,1.5,4,3,3,2.25,3.043746,1.414038,0.198662,0.999473,20.70922,2,2,0.178849,0.316124,0.141431,0.040314,0.693569,0.004848,0.350546,0.302232,0.238473,0.189241,0.220452,0.249108
"Last night there were three homicides in the city of Dallas, Texas. Lisa and Monica are sisters who lost their brother and sister in law. Someone robbed the pair and shot them in their home. Two blocks away, a teenager was shot and killed outside of a store. Police think that all three murders were committed by the same person.",5,4.5,4.5,4.5,4.75,4.5,3.269147,0.338748,0.126785,0.989446,25.68041,3.5,2,0.18435,0.258119,0.13699,0.832478,1.139438,0.576717,0.749401,0.256286,0.239029,0.192331,0.144949,0.177409
Justin is with his friend Bill looking for clubs. Justin is tired from trying to find clubs. Bill keeps trying to find the hottest club in town. They eventually give up and waste their whole night on nothing. On the way home with no sleep Justin falls asleep while driving.,4,4.5,2.25,2.25,3.125,3.375,2.439569,0.683089,0.072537,0.95561,23.87178,2,2,0.166333,0.345293,0.133395,0.229578,0.513592,0.305224,0.311555,0.178169,0.296951,0.24669,0.236233,0.16462
I was rushed into my dental appointment yesterday. I apologized to my dentist for not having time to brush my teeth. He shrugged and gave me a big smile. He said he didn't have time to wash his hands after peeing. I hope he was joking on that one.,5,5,4.5,4.25,4.75,4.625,3.32728,1.215536,0.13874,0.072071,17.95544,3,2,0.187964,0.124142,0.128975,0.242727,0.925162,0.264721,0.01307,,,,,
"Carla was enjoying her nutritional drink. She told Janice to try out the drink. Janice had a sip and gave a good comment on it. Unfortunately, she caught a bad stomach ache an hour later. She was stuck in the bathroom for a while.",4.25,4.5,2.75,3,3.5,3.75,3.412613,1.487562,0.096517,0.453107,20.39814,2,2,0.18276,0.920333,0.124186,0.299913,0.043103,0.638118,0.594963,,,,,
"I took my girlfriend to a new arcade that opened up around the town. When he got inside the place, a bunch of kids were wandering around. We also didn't get the chance to sit down since the place was crowded. The waiter told us to be patient. However, we decided to leave and look for an empty restaurant.",2.25,2.5,4,2.75,3.125,2.625,2.910046,1.696892,0.061554,0.99315,25.70421,2,2,0.183215,0.513927,0.106958,0.036369,0.434473,0.464013,0.461064,,,,,
"Gemini had a scar on his left cheek. He was bullied both for his name and his scar. Gemini went to the county office and had his name changed to Jim. Then he bought some makeup to cover up his scar. Now he lives a quiet, nondescript life, and he loves it.",5,4.5,3.75,3.5,4.375,4,3.433523,1.424983,0.070323,0.430818,22.03387,3,2,0.189692,0.558728,0.103701,0.187988,0.195216,0.022529,0.203011,,,,,
My friends and I decided to drive to a music festival 3 hours away. After the show we decided not to get a hotel room. The hotel rooms available were either expensive or not clean. So we decided to just forgo sleep and just drive home. We talked and laughed the entire drive and had a great time.,3.25,3.5,3.75,3.5,3.5,3.5,2.78575,1.194546,0.033091,0.994592,21.44097,3,2,0.184664,0.1434,0.098309,0.115508,0.479073,0.168204,0.164406,,,,,
Jill really wanted to write a song for her boyfriend. She compared lyrics from all her favorite bands. She started to write down lyrics but it didn't seem right. After days and days of work her song was finished. Her boyfriend loved it so much!,2.75,2.75,2.5,2.25,2.625,2.5,2.95885,0.162948,0,0.983465,18.46302,3,2,0.177215,0.972045,0.091823,0.390605,0.719746,0.59225,0.419652,,,,,
"My wife's coworker came to a party last weekend. She brought her husband. The group sat and talked, her husband a way off. Her husband moved to be closer to her, and she was pleased. He said he moved as he could not hear the conversation.",2.5,3,3.25,2.25,2.875,2.625,2.784692,0.924911,0.176176,0.970509,18.14509,2,2,0.168549,0.81878,0.091038,0.16114,0.380926,0.693737,0.583645,,,,,
A thief tried to approach an old lady in the street. He didn't realize that she's a kung fu mentor. She was able to knock him out. He fell on the floor. The police officers came and tool him to jail.,5,5,4,3.25,4.5,4.125,2.360587,1.725878,0.064569,0.586075,16.13593,3,3,0.218121,0.400763,0.087464,0.015413,0.264019,0.083042,0.122706,,,,,
Harry was afraid of heights. His friends convinced him to hang glide. Harry set up life insurance. He jumped off the cliff. He flew into a building.,3,3.5,3.25,4.5,3.125,4,3.025283,1.624203,0.170123,0.582059,12.85548,2,2,0.184878,0.730242,0.086948,0.089812,0.179727,0.285681,0.741304,,,,,
"Anna squeezed into her favorite old jeans. They were a few sizes too small. She managed to zip them, though, so she thought it was okay. But when she crouched later, the jeans ripped! Anna wished she hadn't worn such tight jeans.",5,4,2.5,3.75,3.75,3.875,3.240879,1.005217,0.179145,1.988145,20.01622,2,2,0.187279,0.164158,0.066657,0.07009,0.357959,0.274158,0.243939,,,,,
Tammy and Jane sat down to play a board game. Tammy kept winning each game. They decided to make a rule so Tammy would have a harder time. The next game was much closer. The game after that Jane had won.,3.25,3.25,3.75,2.75,3.5,3,2.682037,0.295169,0.111009,0.998004,17.43299,2,2,0.16268,0.355132,0.061339,0.093877,0.032904,0.214312,0.176254,,,,,
"A hunter was in his hunter's stand in the woods. A bear had approached his stand slowly, with curiosity. The hunter was extremely nervous and lifted his gun. To his horror, the bear climbed the tree and sniffed around the hunter The hunter decided to stay still until the bear left.",4,4,2.75,3,3.375,3.5,2.843763,1.040625,0.087016,0.998737,24.27187,3,2,0.175816,0.296145,0.058647,0.051214,0.007292,0.324426,0.118968,,,,,
"Arthur wanted to start impressing girls. He persuaded his mother to buy him a gold necklace. She bought it and he wore the necklace with pride. But it attracted more guys than girls. Finally, a guy with a group of guys snatched it from Arthur's neck.",5,5,2,4.5,3.5,4.75,2.982998,1.355106,0.186419,0.998657,20.30377,3,2,0.175462,0.236967,0.047503,0.01806,0.044731,0.055647,0.027447,,,,,
Jane's cat ran out the door one day. She went out looking for him. After an hour she went back home. Her cat was waiting by the door for her. Jane laughed a bit and let him in.,3.75,3.75,3.25,3,3.5,3.375,3.022685,1.791259,0.219797,0.981742,14.15454,2,2,0.161808,0.011295,0.047041,0.278824,0.544817,0.144413,0.184262,,,,,
Jane went to an attorney to get a divorce from Jack. The lawyer was polite but informed her she would lose a lot. Jane decided to take a day to think about it. She called the lawyer a week late and told him to proceed. A week later Jack signed the papers somberly.,3.5,3,4,4.5,3.75,3.75,2.492583,1.588315,0.072396,0.993675,24.45152,3,2,0.177703,0.205673,0.033252,0.101684,0.49507,0.138807,0.051439,,,,,
"Leah is nervous about her flight while she waits in the terminal. A man comes up and starts hitting on her. Luckily for Leah, she doesn't have to sit next to him on the flight. She deplanes, and he begins hitting on her again. Leah lets him down and quickly leaves.",4,3.75,3,4,3.5,3.875,3.412336,1.741921,0.029947,0.98488,19.8888,3,2,0.16357,0.343257,0.022871,0.228357,0.828325,0.207131,0.169161,,,,,
There was a boy in a choir who was very rude. He constantly talked while the Director was speaking. The Director asked him if he would like to come up front. It was not as easy to lead a choir as he had thought. The boy was more subdued when he went back to his seat.,4,3.5,3.75,3.25,3.875,3.375,3.05384,1.689738,0.056808,0.983657,18.44721,3,2,0.186081,0.279619,0.022411,0.41236,0.614367,0.318874,0.108236,,,,,
"A little boy played with a ball alone. Someone brought a little girl into the room with him. She wanted to play with the ball and he was afraid to let her. However he allowed her to play with the ball as well. They continued to play until they went home, not alone anymore.",2.5,3.25,2,2.75,2.25,3,2.473624,1.595838,0.060923,0.990851,21.90601,2,2,0.16067,0.32463,0.016572,0.125716,0.604725,0.441334,0.124616,,,,,
Kyle often forgot his clothes at the laundromat. The owner warned him they would be donated if he left them again. Kyle did not want his clothes to be taken away. So he decided to be more attentive and wait for his clothes to finish. Kyle never left any clothes unattended in the laundromat again.,4.25,3.5,3,2.5,3.625,3,2.886794,1.435274,0.053172,0.994832,22.62883,2,2,0.170814,0.201087,0.008491,0.398365,0.517249,0.133496,0.192488,,,,,
Tammy woke up one morning before school. She needed to put on her eye makeup but she had some type of sore. She tried several times but couldn't put on her eye makeup. Instead she decided to go to school without it. She ended up loving it and adopted it as her permanent look.,3.25,4,3.75,3.25,3.5,3.625,2.37209,1.741867,0.058359,0.920421,21.36814,2,2.5,0.18593,0.005837,0.007939,0.073991,0.41328,0.197411,0.36022,,,,,
